shift_time_hr,od_600nm,inst_growth_rate,source,notes,,,
-1.0522977634360700,0.06522505956699240,0.4875080489375400,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
-0.6341381996216760,0.07829891131229540,0.4645041854475210,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
-0.25904083676421500,0.0939933141248245,0.4946716033483580,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
0.0007789028596860700,0.10808605726046300,0.5069220862846100,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
0.2172026260153560,0.1203485860450170,0.6141339343206700,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
0.4196060976966730,0.13839286638199200,0.6797488731487440,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
0.6218982975408930,0.15744152403545500,0.6800225370251130,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
0.7954823634138210,0.17911207520037500,0.741645202833226,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
1.0123511739178800,0.2081923223473720,0.7379426915647130,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
1.2005118504506500,0.24199397520185200,0.7401802962009010,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
1.4029153221319700,0.27827697005787700,0.7607372826786860,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
1.5912985423389300,0.33048471150592000,0.7570347714101740,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
1.7793479470346100,0.3800354289465600,0.8176593689632970,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
1.9673973517302800,0.43701545707359900,0.8436574372182870,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
2.140981417603210,0.49716709674041000,,"Erickson et al., 2017","Digitized from Extended Figure 3, panel D",,,
